0x000: 0xD5AA39E3
0x004: 0xFC28958F
0x008: 0x7FBF66F5
0x00C: 0xE6E0E2E3
0x010: 0x9666DF62
0x014: 0x69EFD99C
0x018: 0x11CFDA25
0x01C: 0xE55C6088
0x020: 0x79D887B4
0x024: 0x26918D03
0x028: 0x4D65FA4B
0x02C: 0xCCDA2880
0x030: 0xB6D309DF
0x034: 0x7A2050A2
0x038: 0x23AF11C5
0x03C: 0x6590C5EC
0x040: 0xDFB1BCC5
0x044: 0x6613DBFB
0x048: 0x24988D7A
0x04C: 0x16EBBF24
0x050: 0xEAF189C0
0x054: 0x8B786B26
0x058: 0x134D1B56
0x05C: 0x8C60C908
0x060: 0x2A871E20
0x064: 0x7A388BD5
0x068: 0xBFF12753
0x06C: 0xAC34A65C
0x070: 0x5F053FC5
0x074: 0x19BBA315
0x078: 0x589C622C
0x07C: 0xDE219A49
0x080: 0xE458D41D
0x084: 0x7CFC972C
0x088: 0x34A3EFE8
0x08C: 0xD893260A
0x090: 0x84D13B6A
0x094: 0xE8A42153
0x098: 0x19015B70
0x09C: 0x86CC30AE
0x0A0: 0xE1E113AC
0x0A4: 0x886CC91A
0x0A8: 0xA8D3849F
0x0AC: 0xB6330357
0x0B0: 0x21266CFA
0x0B4: 0xAA9AE45A
0x0B8: 0xF54F54B8
0x0BC: 0xC4186A5C
0x0C0: 0x8E2B351F
0x0C4: 0xAC31BE16
0x0C8: 0xF924B9B5
0x0CC: 0xCA69DEED
0x0D0: 0x48C7499D
0x0D4: 0xE0D66C68
0x0D8: 0x1B43C59E
0x0DC: 0x552BDA0A
0x0E0: 0xB969C006
0x0E4: 0xF873DD4F
0x0E8: 0xBB837831
0x0EC: 0x360BCEC8
0x0F0: 0x6E9B4ED7
0x0F4: 0xBAA8CC06
0x0F8: 0x4ED6979E
0x0FC: 0x839E473D
0x100: 0x208491D9
0x104: 0x22043D93
0x108: 0xD6FB8BD1
0x10C: 0x8ACD1C3E
0x110: 0x312EC58F
0x114: 0xFF413B32
0x118: 0x7F1DE788
0x11C: 0xC0CB0DB0
0x120: 0xCF1B1EB5
0x124: 0xAF0F5F21
0x128: 0x03A2A638
0x12C: 0xBF90E0EC
0x130: 0x60871A0A
0x134: 0x3BB23FCA
0x138: 0x7EDCC70E
0x13C: 0x0C7E1BEE
0x140: 0x37E89405
0x144: 0xA9CBE4FC
0x148: 0x6C812E75
0x14C: 0x8D61A226
0x150: 0xF8143D62
0x154: 0xDCDA7C44
0x158: 0xA29877EA
0x15C: 0xFDBE18BB
0x160: 0x87654321
0x164: 0xFFFFFFFF
0x168: 0x00ABCDEF
0x16C: 0x12345678
0x170: 0x7DBEF0FA
0x174: 0x9965E850
0x178: 0x39F1C858
0x17C: 0x85C781D7
0x180: 0x701FB3EB
0x184: 0xDAE70178
0x188: 0x87DC1733
0x18C: 0xC1985706
0x190: 0x382C4AC9
0x194: 0x64F3964D
0x198: 0xE64CDF27
0x19C: 0x3F6DF5C9
0x1A0: 0x381FE824
0x1A4: 0x72DF5284
0x1A8: 0x47A1A9CC
0x1AC: 0xC26E4ED7
0x1B0: 0x67D6D588
0x1B4: 0x813F66ED
0x1B8: 0x5E62C35C
0x1BC: 0xC3361C68
0x1C0: 0x70FC0F52
0x1C4: 0x83A1922D
0x1C8: 0x17465978
0x1CC: 0xC3B277D0
0x1D0: 0x046C8929
0x1D4: 0xBEEF51E1
0x1D8: 0x4FFDDB6E
0x1DC: 0xF44C0B15
0x1E0: 0x3D10E39E
0x1E4: 0xD2852A85
0x1E8: 0x6C50629C
0x1EC: 0xC76E8488
0x1F0: 0xBC8FA58D
0x1F4: 0x8ADA00BE
0x1F8: 0x4F33019F
0x1FC: 0x7C25BE44
0x200: 0x1AA0308E
0x204: 0xD009D4CA
0x208: 0xB66D1412
0x20C: 0x4A1CC22A
0x210: 0xFF2FEAF0
0x214: 0xA7157333
0x218: 0xAF4D14A5
0x21C: 0xC8AB2484
0x220: 0xDC7A81C8
0x224: 0x7501FE30
0x228: 0x18564FD6
0x22C: 0xE77361DF
0x230: 0x194E2A79
0x234: 0x99DBBA44
0x238: 0x3726CC1A
0x23C: 0x856DCB03
0x240: 0x51C44F57
0x244: 0x542DBCC9
0x248: 0x6A59D5D8
0x24C: 0x84E1CDE9
0x250: 0x86299497
0x254: 0x152D7DF8
0x258: 0xEA0ED90B
0x25C: 0x4978AD8E
0x260: 0xF7F8D85F
0x264: 0x61C0BC1E
0x268: 0x5EAC1687
0x26C: 0xEA7FDB8F
0x270: 0x636817F4
0x274: 0xDB069F22
0x278: 0x59E3EF53
0x27C: 0x384B9C62
0x280: 0xDEADBEEF
0x284: 0xB0BACAFE
0x288: 0xA325BE9E
0x28C: 0xB5B34A38
0x290: 0xD642C6D5
0x294: 0x615E3B04
0x298: 0xCAFEBABE
0x29C: 0xCAFED00D
0x2A0: 0xE5DA37EA
0x2A4: 0xD216418C
0x2A8: 0xA0A89F02
0x2AC: 0x376ECB34
0x2B0: 0x43276EE8
0x2B4: 0x69C3E6E6
0x2B8: 0xF3628B01
0x2BC: 0x52219067
0x2C0: 0x452AE399
0x2C4: 0x313C2F89
0x2C8: 0xCD11D5DE
0x2CC: 0x848B6241
0x2D0: 0x14FF7EEF
0x2D4: 0x4BDBE349
0x2D8: 0x4FF1171E
0x2DC: 0xF8C9653A
0x2E0: 0xDB1F598A
0x2E4: 0xB536FD9C
0x2E8: 0x5221D524
0x2EC: 0xCA8C7EF8
0x2F0: 0x047013FD
0x2F4: 0xF18A3133
0x2F8: 0xF22A8637
0x2FC: 0xE87720D1
0x300: 0x8958F286
0x304: 0xB937991D
0x308: 0xFFFBD918
0x30C: 0x15BD3736
0x310: 0x38017AB9
0x314: 0xD7A1A280
0x318: 0x4EF0D57F
0x31C: 0xB6AE4D99
0x320: 0x6A7802CA
0x324: 0x16BD7848
0x328: 0xC756BA4B
0x32C: 0xA34DBCD3
0x330: 0x738F85B4
0x334: 0x736EEDF5
0x338: 0xB2A6538D
0x33C: 0x1BB2663E
0x340: 0x9068D39E
0x344: 0x69163602
0x348: 0x052D382C
0x34C: 0xDD239062
0x350: 0xD504DC5E
0x354: 0x881105A3
0x358: 0xCFCB36DF
0x35C: 0xB3F268A3
0x360: 0x2FDE08AC
0x364: 0x1FE706C2
0x368: 0x81C82C49
0x36C: 0xD23AE134
0x370: 0x331CB641
0x374: 0x636C663B
0x378: 0x7D1ED7F6
0x37C: 0x099C6467
0x380: 0x61B8B86A
0x384: 0x109D4FE5
0x388: 0xC2F7B222
0x38C: 0xC9FAAB44
0x390: 0xC4012795
0x394: 0xCD9599F2
0x398: 0xB54D2F96
0x39C: 0x3AA25A5D
0x3A0: 0xB917DC3C
0x3A4: 0x12111132
0x3A8: 0x3CAF6E5E
0x3AC: 0x6DBDE970
0x3B0: 0x2C710129
0x3B4: 0x88A27D5D
0x3B8: 0x04B800C8
0x3BC: 0xC0A43AA9
0x3C0: 0x0D59CF96
0x3C4: 0x103FE644
0x3C8: 0x15C2FC13
0x3CC: 0xCD4C75A5
0x3D0: 0x8AE11978
0x3D4: 0x19030F46
0x3D8: 0x2C631D88
0x3DC: 0x16AE1BA1
0x3E0: 0x7159DC18
0x3E4: 0xE52B4E81
0x3E8: 0x4B025C76
0x3EC: 0xF3524D34
0x3F0: 0x88944180
0x3F4: 0x73600771
0x3F8: 0x212AC792
0x3FC: 0xF25B1E3C
0x400: 0xD433D4F2
0x404: 0xD0346F42
0x408: 0x53D7D0A3
0x40C: 0x367F976D
0x410: 0xD319B7A5
0x414: 0xB26C459C
0x418: 0x7A7B5880
0x41C: 0x8C356683
0x420: 0x4123D5FC
0x424: 0xC661FDD6
0x428: 0xA73F8221
0x42C: 0x307C184A
0x430: 0x27BD2347
0x434: 0x4C918E0D
0x438: 0x196FAC77
0x43C: 0x2C95AC99
0x440: 0xBEA4A696
0x444: 0x7A299106
0x448: 0xF7C5E40C
0x44C: 0xF1A6CD0C
0x450: 0x82E91F00
0x454: 0x6AE49910
0x458: 0x34CC5EAF
0x45C: 0x1151028D
0x460: 0xE72D3E7E
0x464: 0xFA11D520
0x468: 0x6B7E72DF
0x46C: 0x7A0CC6E5
0x470: 0xD660917D
0x474: 0x713C9225
0x478: 0xDC830820
0x47C: 0xBADDCA90
0x480: 0x8BA51F5B
0x484: 0x08342E05
0x488: 0x782BE9C9
0x48C: 0x4AA64FD8
0x490: 0x5F171270
0x494: 0xD94B254E
0x498: 0x5428845D
0x49C: 0x7E00495B
0x4A0: 0xD03780A5
0x4A4: 0x467AEB1F
0x4A8: 0xC1001FB0
0x4AC: 0x5B6546D8
0x4B0: 0xEC5F1506
0x4B4: 0x3401941C
0x4B8: 0x38F9A02E
0x4BC: 0x6645BE7E
0x4C0: 0x7B7E2824
0x4C4: 0x4BDF10B6
0x4C8: 0xF1B13809
0x4CC: 0xDF8FAE11
0x4D0: 0xF6D1FFF8
0x4D4: 0x5442B3EC
0x4D8: 0xAD668E6F
0x4DC: 0xC69B2B10
0x4E0: 0xB47B2129
0x4E4: 0x423250F6
