0x0000: 0x41D5F626
0x0004: 0x7F6F95C7
0x0008: 0x781E4694
0x000C: 0xAE99D5C2
0x0010: 0x47A2F90B
0x0014: 0x3E29CC41
0x0018: 0x55319150
0x001C: 0x33945751
0x0020: 0x60E7126F
0x0024: 0x4AA72412
0x0028: 0x25EA2855
0x002C: 0x46250EF6
0x0030: 0x012E4924
0x0034: 0x5A74EA56
0x0038: 0x60537B6B
0x003C: 0x0D3EF4EB
0x0040: 0x4A25ABB5
0x0044: 0x14CAA082
0x0048: 0x2CB8DD9E
0x004C: 0x2D47E8C7
0x0050: 0x563BD682
0x0054: 0x3F06ACD1
0x0058: 0x68E9498D
0x005C: 0x3E8E0BD9
0x0060: 0x7EA37FC2
0x0064: 0x18B6523E
0x0068: 0x1F02F7D7
0x006C: 0x6812313A
0x0070: 0x763D182C
0x0074: 0x116FAE8D
0x0078: 0x14582F98
0x007C: 0x00E84228
0x0080: 0x6FF15C69
0x0084: 0x78CD422F
0x0088: 0x2EE3BBBD
0x008C: 0x271E2DA6
0x0090: 0x50E692C4
0x0094: 0x76FAEC5D
0x0098: 0x71367FA2
0x009C: 0x17832B19
0x00A0: 0x0E1E283C
0x00A4: 0x2EF870EC
0x00A8: 0x4EC3CB5C
0x00AC: 0x5354D0B6
0x00B0: 0x3332A795
0x00B4: 0x1577A3D3
0x00B8: 0x2D51DEEE
0x00BC: 0x4F4086E7
0x00C0: 0x4B18D0B5
0x00C4: 0x36F1990D
0x00C8: 0x6A01F8F1
0x00CC: 0x1AD24E89
0x00D0: 0x635E0AE9
0x00D4: 0x2F519BB0
0x00D8: 0x58550E78
0x00DC: 0x55D6092B
0x00E0: 0x48E1B95A
0x00E4: 0x47CE8790
0x00E8: 0x69A7A595
0x00EC: 0x4D379479
0x00F0: 0x5101F24E
0x00F4: 0x4103A93D
0x00F8: 0x3BA0464F
0x00FC: 0x502CF93A
0x0100: 0x5B29C2EF
0x0104: 0x4E811E10
0x0108: 0x284398BE
0x010C: 0x36EC54C8
0x0110: 0x06B51915
0x0114: 0x0C2FBACD
0x0118: 0x4ECA3D88
0x011C: 0x51123487
0x0120: 0x741F3707
0x0124: 0x5EEC1F48
0x0128: 0x21086278
0x012C: 0x50E3CFD7
0x0130: 0x2428CE25
0x0134: 0x310DD738
0x0138: 0x4837BFC9
0x013C: 0x4234EE6C
0x0140: 0x0801993F
0x0144: 0x30F320EB
0x0148: 0x597653D2
0x014C: 0x767EC98E
0x0150: 0x5993F177
0x0154: 0x530CEB18
0x0158: 0x5E66965A
0x015C: 0x66FA8FF3
0x0160: 0x2ACCFCE1
0x0164: 0x07A4ED46
0x0168: 0x12426BA7
0x016C: 0x0C36A3D5
0x0170: 0x0C4D99F9
0x0174: 0x5E3EA1B6
0x0178: 0x594A0654
0x017C: 0x7CE7FDF8
0x0180: 0x7F6F4AB7
0x0184: 0x09D30B19
0x0188: 0x7C6A1690
0x018C: 0x0FFD686E
0x0190: 0x51A7F296
0x0194: 0x08DF524C
0x0198: 0x383CF9CD
0x019C: 0x0350776F
0x01A0: 0x43CC2FBB
0x01A4: 0x591CEAE9
0x01A8: 0x2A979CCC
0x01AC: 0x5E51C722
0x01B0: 0x157CAD5F
0x01B4: 0x2216B934
0x01B8: 0x61C7EFAB
0x01BC: 0x5C5D169F
0x01C0: 0x2A368AAE
0x01C4: 0x63020816
0x01C8: 0x0DEEB37A
0x01CC: 0x29BDFCF4
0x01D0: 0x687DEDA2
0x01D4: 0x2BBE0D82
0x01D8: 0x11F33052
0x01DC: 0x5E863A64
0x01E0: 0x641E9E3D
0x01E4: 0x3F5B1FEA
0x01E8: 0x51E1EB0F
0x01EC: 0x093CC103
0x01F0: 0x3EF98779
0x01F4: 0x2F5DDB79
0x01F8: 0x451D8EBB
0x01FC: 0x12347E9F
0x0200: 0x4C8B3A88
0x0204: 0x4D8C6E5B
0x0208: 0x3C22EF6D
0x020C: 0x2893102B
0x0210: 0x3D7A03B3
0x0214: 0x44321864
0x0218: 0x491687A2
0x021C: 0x49D26094
0x0220: 0x4DF372EC
0x0224: 0x38A2A9BD
0x0228: 0x7CB17A39
0x022C: 0x37581401
0x0230: 0x0047B5F9
0x0234: 0x5BDC28C2
0x0238: 0x57C5A2E5
0x023C: 0x6073A1FA
0x0240: 0x76F09F9D
0x0244: 0x353CAC33
0x0248: 0x7EE06AF1
0x024C: 0x7C6C8442
0x0250: 0x1BD6AA8B
0x0254: 0x04D77801
0x0258: 0x05A98C9B
0x025C: 0x538A80C7
0x0260: 0x1093E86E
0x0264: 0x1794C4A8
0x0268: 0x7188D6D3
0x026C: 0x6FFDDAF9
0x0270: 0x2C5F487D
0x0274: 0x5DFEFF8E
0x0278: 0x17A24B55
0x027C: 0x12D15DBC
0x0280: 0x7385DD24
0x0284: 0x6C30F060
0x0288: 0x4F0FCF84
0x028C: 0x05C7E806
0x0290: 0x5DF33C85
0x0294: 0x4F5A02BC
0x0298: 0x12E4AB1B
0x029C: 0x25578AF5
0x02A0: 0x3353FE19
0x02A4: 0x3BF5820F
0x02A8: 0x272E0EED
0x02AC: 0x6E607A8E
0x02B0: 0x1625DE75
0x02B4: 0x3B085917
0x02B8: 0x49ECC660
0x02BC: 0x4A55FCD9
0x02C0: 0x71BC143D
0x02C4: 0x042DDEEA
0x02C8: 0x11BB6F63
0x02CC: 0x09810D74
0x02D0: 0x6E835F77
0x02D4: 0x5E08170D
0x02D8: 0x081A7F5F
0x02DC: 0x00D8F27E
0x02E0: 0x4DCC036D
0x02E4: 0x437376AA
0x02E8: 0x4FC1EB07
0x02EC: 0x522AC5A4
0x02F0: 0x32E6B185
0x02F4: 0x61BD1BE1
0x02F8: 0x2C57CFAD
0x02FC: 0x286C1E4E
0x0300: 0x5FBD0F30
0x0304: 0x3B68037B
0x0308: 0x0E98C25B
0x030C: 0x36AB5A73
0x0310: 0x5E757028
0x0314: 0x011D5B9B
0x0318: 0x415A040F
0x031C: 0x32A5AC2D
0x0320: 0x7AF59972
0x0324: 0x2C16FB5D
0x0328: 0x0F367176
0x032C: 0x6A8578E0
0x0330: 0x26EFC245
0x0334: 0x125D041B
0x0338: 0x139AE2DD
0x033C: 0x2FDAF620
0x0340: 0x57C1347B
0x0344: 0x5F3DEE3B
0x0348: 0x52273770
0x034C: 0x3E653652
0x0350: 0x199E9286
0x0354: 0x593B4E24
0x0358: 0x6CBC85AC
0x035C: 0x5E206A27
0x0360: 0x5CCE67BB
0x0364: 0x129A8B21
0x0368: 0x37511AFA
0x036C: 0x578165C0
0x0370: 0x07E97177
0x0374: 0x6F6B036E
0x0378: 0x60C62940
0x037C: 0x0670566F
0x0380: 0x214E688B
0x0384: 0x6A5D5E98
0x0388: 0x45630020
0x038C: 0x74EAAE99
0x0390: 0x6F9D57B5
0x0394: 0x12FDB813
0x0398: 0x7061E556
0x039C: 0x5BD7B2DE
0x03A0: 0x454016DC
0x03A4: 0x6572D8A9
0x03A8: 0x21C94512
0x03AC: 0x4B3BDBFF
0x03B0: 0x3C48508C
0x03B4: 0x47D93008
0x03B8: 0x582C9B1A
0x03BC: 0x169DAE55
0x03C0: 0x5ECE3765
0x03C4: 0x5E012B85
0x03C8: 0x5BE6D4E1
0x03CC: 0x746C0408
0x03D0: 0x1D5CE767
0x03D4: 0x227A82C2
0x03D8: 0x321A1DF5
0x03DC: 0x572A2E76
0x03E0: 0x404E87E0
0x03E4: 0x5B5956C1
0x03E8: 0x290A6CF0
0x03EC: 0x014C53BE
0x03F0: 0x372035F9
0x03F4: 0x7207B3E1
0x03F8: 0x352728B0
0x03FC: 0x4F38D347
0x0400: 0x64B6F3B4
0x0404: 0x15071173
0x0408: 0x0AD221D8
0x040C: 0x08529AFC
0x0410: 0x39B20BA3
0x0414: 0x0844D2DF
0x0418: 0x79BDFFF3
0x041C: 0x52607200
0x0420: 0x4F82CF28
0x0424: 0x755AD45F
0x0428: 0x5EBC53A6
0x042C: 0x3800234A
0x0430: 0x563A3550
0x0434: 0x5B7B2644
0x0438: 0x4AF7CACB
0x043C: 0x02E48823
0x0440: 0x6F25BB2F
0x0444: 0x2ED5470B
0x0448: 0x6B8B55B8
0x044C: 0x40BCD013
0x0450: 0x36DB1BDC
0x0454: 0x5384DAEB
0x0458: 0x2BAE62E8
0x045C: 0x68E60728
0x0460: 0x7C0F231D
0x0464: 0x7B8B1230
0x0468: 0x7D62B5DE
0x046C: 0x460EF61B
0x0470: 0x61851389
0x0474: 0x2BB37D82
0x0478: 0x7F619EA6
0x047C: 0x2E80787E
0x0480: 0x30FE7C9E
0x0484: 0x3FC23DAC
0x0488: 0x6E3864EB
0x048C: 0x753FF550
0x0490: 0x6B51B963
0x0494: 0x60FA977F
0x0498: 0x46CFFF5B
0x049C: 0x2E75EA29
0x04A0: 0x7AE037E3
0x04A4: 0x4B7C1FCA
0x04A8: 0x26F4430C
0x04AC: 0x50AC1FB7
0x04B0: 0x0AA6240F
0x04B4: 0x47B1650F
0x04B8: 0x51F80153
0x04BC: 0x2C425F26
0x04C0: 0x20E14E30
0x04C4: 0x19B058C7
0x04C8: 0x280CCAFD
0x04CC: 0x5CFD2C19
0x04D0: 0x094BF502
0x04D4: 0x34DB4D57
0x04D8: 0x1454B4CB
0x04DC: 0x17494464
0x04E0: 0x005EF1A2
0x04E4: 0x128D49E4
0x04E8: 0x7853DEC5
0x04EC: 0x2CC82EEC
0x04F0: 0x28D3A36C
0x04F4: 0x2BB54E14
0x04F8: 0x1F3212C2
0x04FC: 0x333FFCB9
0x0500: 0x1E82ACCC
0x0504: 0x2B703CCF
0x0508: 0x65049DBE
0x050C: 0x4875DEB1
0x0510: 0x24858E76
0x0514: 0x70BD705E
0x0518: 0x3D3E36CF
0x051C: 0x0E48DD69
0x0520: 0x1AE0441D
0x0524: 0x3A742F88
0x0528: 0x31A6D935
0x052C: 0x7983CBE8
0x0530: 0x7892F8F6
0x0534: 0x44BA71DD
0x0538: 0x44898E10
0x053C: 0x6E7404CE
0x0540: 0x039B600F
0x0544: 0x4C5BCF2D
0x0548: 0x0AEE9DE9
0x054C: 0x5A9445E5
0x0550: 0x2C2690D2
0x0554: 0x331C679A
0x0558: 0x7CE5A242
0x055C: 0x7258A996
0x0560: 0x4A38C2FF
0x0564: 0x7ECE8E08
0x0568: 0x2310800B
0x056C: 0x5DAA43E8
0x0570: 0x34A1D55F
0x0574: 0x2469965A
0x0578: 0x5897E927
0x057C: 0x60708F38
0x0580: 0x1CA14A72
0x0584: 0x5F2F108B
0x0588: 0x64E5BFA4
0x058C: 0x7C4F6B2F
0x0590: 0x0B3EC53F
0x0594: 0x5D902F5B
0x0598: 0x24A6FCB8
0x059C: 0x487CA3A1
0x05A0: 0x5504308E
0x05A4: 0x308C3ABB
0x05A8: 0x5D13EECB
0x05AC: 0x6A5A2A55
0x05B0: 0x586187FB
0x05B4: 0x56A2BD46
0x05B8: 0x7CA7DDB1
0x05BC: 0x470DBE44
0x05C0: 0x4130EC9C
0x05C4: 0x6570AD3E
